family,order,clade,color,color_ensemble,color_supertree,fossil_only
Bentholyonsiidae,Verticordioidea,Anomalodesmata,purple3,purple,purple,FALSE
Cetoconchidae,Poromyoidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Clavagellidae,Clavagelloidea,Anomalodesmata,purple3,purple,purple,FALSE
Cleidothaeridae,Myochamoidea,Anomalodesmata,purple3,purple3,purple,FALSE
Clistoconchidae,Thracioidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Cuspidariidae,Cuspidarioidea,Anomalodesmata,purple,purple,purple,FALSE
Euciroidae,Verticordioidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Halonymphidae,Cuspidarioidea,Anomalodesmata,purple3,purple,purple,FALSE
Laternulidae,Laternuloidea,Anomalodesmata,purple,purple,purple,FALSE
Lyonsiellidae,Verticordioidea,Anomalodesmata,purple,purple,purple,FALSE
Lyonsiidae,Pandoroidea,Anomalodesmata,purple,purple,purple,FALSE
Myochamidae,Myochamoidea,Anomalodesmata,purple3,purple,purple,FALSE
Pandoridae,Pandoroidea,Anomalodesmata,purple,purple,purple,FALSE
Parilimyidae,Pholadomyoidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Penicillidae,Clavagelloidea,Anomalodesmata,purple3,purple,purple,FALSE
Periplomatidae,Thracioidea,Anomalodesmata,purple,purple,purple,FALSE
Pholadomyidae,Pholadomyoidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Poromyidae,Poromyoidea,Anomalodesmata,purple,purple,purple,FALSE
Protocuspidariidae,Cuspidarioidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Spheniopsidae,Cuspidarioidea,Anomalodesmata,purple3,purple3,purple3,FALSE
Thraciidae,Thracioidea,Anomalodesmata,purple,purple,purple,FALSE
Verticordiidae,Verticordioidea,Anomalodesmata,purple3,purple,purple,FALSE
Astartidae,Carditida,Archiheterodonta,orange,orange,orange,FALSE
Carditidae,Carditida,Archiheterodonta,orange,orange,orange,FALSE
Condylocardiidae,Carditida,Archiheterodonta,orange3,orange3,orange,FALSE
Crassatellidae,Carditida,Archiheterodonta,orange,orange,orange,FALSE
Permophoridae,Modiomorphida,Archiheterodonta,orange3,orange,orange3,TRUE
Anatinellidae,Venerida,Imparidentia,darkblue,blue,blue,FALSE
Arcticidae,Venerida,Imparidentia,darkblue,blue,blue,FALSE
Basterotiidae,Galeommatida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Cardiidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Cardiliidae,Venerida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Ceratomyidae,Myida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Chamidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Corbiculidae,Venerida,Imparidentia,darkblue,darkblue,blue,FALSE
Corbulidae,Myida,Imparidentia,blue,blue,blue,FALSE
Cyamiidae,Cyamioidea,Imparidentia,darkblue,darkblue,blue,FALSE
Cycloconchidae,Actinodontida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Cyrenidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Cyrenoididae,Venerida,Imparidentia,darkblue,darkblue,blue,FALSE
Donacidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Dreissenidae,Myida,Imparidentia,blue,blue,blue,FALSE
Gaimardiidae,Gaimardioidea,Imparidentia,darkblue,blue,blue,FALSE
Galatheavalvidae,Cyamioidea,Imparidentia,darkblue,darkblue,darkblue,FALSE
Galeommatidae,Galeommatida,Imparidentia,blue,blue,blue,FALSE
Gastrochaenidae,Gastrochaenida,Imparidentia,darkblue,blue,blue,FALSE
Glauconomidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Glossidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Hemidonacidae,Venerida,Imparidentia,darkblue,darkblue,blue,FALSE
Hiatellidae,Adapedonta,Imparidentia,blue,blue,blue,FALSE
Kalenteridae,Carditida,Imparidentia,darkblue,blue,darkblue,FALSE
Kelliellidae,Venerida,Imparidentia,darkblue,darkblue,blue,FALSE
Lahillidae,Venerida,Imparidentia,darkblue,blue,blue,TRUE
Lasaeidae,Galeommatida,Imparidentia,blue,blue,blue,FALSE
Lucinidae,Lucinida,Imparidentia,blue,blue,blue,FALSE
Mactridae,Venerida,Imparidentia,blue,blue,blue,FALSE
Mactromyidae,Lucinida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Mesodesmatidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Myidae,Myida,Imparidentia,blue,blue,blue,FALSE
Myophoricardiidae,Carditida,Imparidentia,darkblue,blue,darkblue,TRUE
Neoleptonidae,Venerida,Imparidentia,darkblue,darkblue,darkblue,FALSE
Pharidae,Adapedonta,Imparidentia,blue,blue,blue,FALSE
Pholadidae,Myida,Imparidentia,blue,blue,blue,FALSE
Psammobiidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Semelidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Solecurtidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Solenidae,Adapedonta,Imparidentia,blue,blue,blue,FALSE
Sowerbyidae,Cardiida,Imparidentia,darkblue,blue,darkblue,TRUE
Sphaeriidae,Sphaeriida,Imparidentia,darkblue,blue,blue,FALSE
Sportellidae,Cyamioidea,Imparidentia,darkblue,darkblue,darkblue,FALSE
Tancrediidae,Cardiida,Imparidentia,darkblue,darkblue,darkblue,TRUE
Tellinidae,Cardiida,Imparidentia,blue,blue,blue,FALSE
Teredinidae,Myida,Imparidentia,darkblue,darkblue,blue,FALSE
Thyasiridae,Lucinida,Imparidentia,blue,blue,blue,FALSE
Trapezidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Ungulinidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Veneridae,Venerida,Imparidentia,blue,blue,blue,FALSE
Vesicomyidae,Venerida,Imparidentia,blue,blue,blue,FALSE
Xylophagaidae,Myida,Imparidentia,blue,blue,blue,FALSE
Cephalopoda,outgrop,outgrop,black,black,black,FALSE
Gastropoda,outgrop,outgrop,black,black,black,FALSE
Monoplacophora,outgrop,outgrop,black,black,black,FALSE
Polyplacophora,outgrop,outgrop,black,black,black,FALSE
Scaphopoda,outgrop,outgrop,black,black,black,FALSE
Solenogastres,outgrop,outgrop,black,black,black,FALSE
Etheriidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Groeberellidae,Trigoniida,Paleoheterodonta,dodgerblue3,dodgerblue3,dodgerblue3,TRUE
Hyriidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Iridinidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Laevitrigoniidae,Trigoniida,Paleoheterodonta,dodgerblue3,dodgerblue3,dodgerblue3,TRUE
Margaritiferidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Mycetopodidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Myophoriidae,Trigoniida,Paleoheterodonta,dodgerblue3,dodgerblue3,dodgerblue3,TRUE
Trigoniidae,Trigoniida,Paleoheterodonta,dodgerblue3,deepskyblue,deepskyblue,FALSE
Trigonodidae,Trigoniida,Paleoheterodonta,dodgerblue3,dodgerblue3,dodgerblue3,TRUE
Unionidae,Unionida,Paleoheterodonta,dodgerblue3,dodgerblue3,deepskyblue,FALSE
Bathyspinulidae,Nuculanida,Protobranchia,red4,red4,red,FALSE
Lametilidae,Nuculanida,Protobranchia,red4,red4,red4,FALSE
Malletiidae,Nuculanida,Protobranchia,red,red,red,FALSE
Neilonellidae,Nuculanida,Protobranchia,red,red,red,FALSE
Nucinellidae,Solemyida,Protobranchia,red4,red,red,FALSE
Nuculanidae,Nuculanida,Protobranchia,red,red,red,FALSE
Nuculidae,Nuculida,Protobranchia,red,red,red,FALSE
